Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
0.7043334,25.34211,8.612755,-4.427878,-0.207748,-1.306058,99.95649,0.007127214,0.009141369
0.7126668,25.36126,8.612751,-4.424492,-0.207259,-1.303076,100.0544,0.007126063,0.009139924
0.721,25.38311,8.612728,-4.42083,-0.2067314,-1.299854,100.0017,0.00712474,0.009138262
0.7293334,25.40171,8.612709,-4.417209,-0.2062092,-1.296666,100.0025,0.007066265,0.009062261
0.7376666,25.42366,8.612657,-4.413702,-0.2057028,-1.293578,100.0001,0.007065454,0.009060618
0.746,25.44325,8.612606,-4.41006,-0.205177,-1.290371,99.97094,0.007008184,0.008984791
0.7543334,25.46265,8.612555,-4.406281,-0.2046323,-1.287044,100.0004,0.007007426,0.008983449
0.7626666,25.49158,8.612518,-4.402532,-0.204091,-1.283743,100.0077,0.0069508,0.008907501
0.771,25.51233,8.612484,-4.399097,-0.2035929,-1.280716,100.0217,0.006950032,0.008906095
0.7793334,25.54009,8.612428,-4.39578,-0.2031108,-1.277792,100.0172,0.006948996,0.008904199
0.7876668,25.55364,8.612406,-4.392256,-0.2026,-1.274688,99.98407,0.006894292,0.00882995
0.8043334,25.60371,8.612401,-4.384506,-0.2014805,-1.267862,99.97199,0.006840094,0.008753753
0.8126668,25.62773,8.612382,-4.380872,-0.2009538,-1.26466,100.0029,0.006839068,0.008752051
0.8293334,25.6725,8.612374,-4.373412,-0.199873,-1.258086,99.9504,0.006785366,0.008676851
0.8626668,25.7763,8.61239,-4.359412,-0.1978384,-1.245744,99.99129,0.00667986,0.008528262
0.871,25.80487,8.612384,-4.355893,-0.1973264,-1.242642,99.98961,0.006629528,0.008456347
0.8793334,25.8353,8.612382,-4.352696,-0.1968584,-1.23982,99.95665,0.006629294,0.008454434
0.8876666,25.86082,8.612369,-4.349018,-0.1963236,-1.236577,100.0227,0.006580681,0.008383349
0.896,25.89376,8.612361,-4.345542,-0.1958164,-1.233511,99.98939,0.006531739,0.008312449
0.9043334,25.9123,8.612316,-4.342282,-0.1953391,-1.230634,100.0212,0.006530793,0.00831137
0.9126668,25.94594,8.612311,-4.339104,-0.1948731,-1.227828,99.99053,0.006481788,0.008241186
0.921,25.97408,8.61225,-4.335556,-0.1943548,-1.224696,99.99718,0.00648118,0.00823954
0.9293334,26.002,8.612215,-4.331952,-0.1938287,-1.221516,100.043,0.006434248,0.008170315
0.9376668,26.03427,8.61217,-4.32852,-0.1933265,-1.218488,99.97218,0.00643281,0.008168503
0.9626668,26.12643,8.612168,-4.319115,-0.1919419,-1.210178,99.98662,0.006335771,0.008029776
0.971,26.14975,8.612149,-4.31634,-0.1915304,-1.207724,100.0452,0.006288784,0.007962613
0.9793334,26.18522,8.612139,-4.313486,-0.1911084,-1.2052,99.94697,0.006287204,0.00796054
0.9876668,26.2184,8.612118,-4.310185,-0.1906236,-1.202286,100.0262,0.006239902,0.007892962
1.021,26.34333,8.612189,-4.298687,-0.1889194,-1.192114,100.0229,0.006148472,0.007756572
1.029333,26.37595,8.612174,-4.29552,-0.1884527,-1.189316,100.0172,0.006104828,0.00769089
1.037667,26.41572,8.612157,-4.292496,-0.1880052,-1.18664,99.96887,0.006061129,0.00762525
1.046,26.4492,8.612144,-4.289383,-0.1875451,-1.183888,100.0255,0.0060605,0.007623526
1.062667,26.52198,8.612118,-4.283414,-0.1866592,-1.178606,99.96202,0.005974584,0.00749439
1.079334,26.58396,8.612112,-4.277668,-0.1858044,-1.173519,99.98999,0.00593098,0.007429206
1.087666,26.62322,8.61208,-4.274389,-0.1853198,-1.170619,100.0048,0.005888664,0.007365542
1.096,26.65547,8.612039,-4.271658,-0.1849113,-1.168199,100.0002,0.005846972,0.007303076
1.112667,26.72774,8.612022,-4.26629,-0.1841074,-1.163442,99.99794,0.005805046,0.007239214
1.121,26.76526,8.612016,-4.263467,-0.1836861,-1.160941,99.99994,0.005763044,0.007177496
1.146,26.87358,8.612016,-4.255453,-0.1824856,-1.153836,99.97253,0.005678828,0.00705439
1.154334,26.91372,8.611982,-4.252656,-0.1820679,-1.151357,99.98394,0.005639652,0.0069944
1.162667,26.9524,8.611975,-4.250522,-0.1817416,-1.14946,100.0172,0.005638768,0.006992703
1.171,26.9867,8.611974,-4.248283,-0.1814007,-1.14747,99.96632,0.005599253,0.006933475
1.179334,27.0249,8.611936,-4.24563,-0.1810023,-1.145116,100.0383,0.005559457,0.006874672
1.187667,27.06787,8.611922,-4.24326,-0.1806429,-1.143011,100.0063,0.00552139,0.006816216
1.204334,27.14678,8.61192,-4.239014,-0.1799918,-1.139232,99.93642,0.005484602,0.006757199
1.212666,27.18689,8.611908,-4.237036,-0.1796857,-1.137469,99.98788,0.005448791,0.006700226
1.221,27.22658,8.611866,-4.234879,-0.1793549,-1.135549,99.99962,0.005413332,0.00664388
1.237667,27.30753,8.611856,-4.230881,-0.1787367,-1.131986,100.0205,0.005379224,0.00658646
1.246,27.3559,8.611848,-4.228715,-0.1784039,-1.130057,100.0158,0.005345276,0.006530744
1.254334,27.39009,8.611844,-4.226682,-0.1780895,-1.128244,100.0005,0.005311604,0.006475961
1.271,27.47414,8.611847,-4.22222,-0.1774055,-1.124272,99.98991,0.005244328,0.006367028
1.279334,27.51464,8.611811,-4.220084,-0.1770766,-1.122369,100.0099,0.005244644,0.006365505
1.287666,27.554,8.611781,-4.218145,-0.1767754,-1.120639,100.0003,0.0052127,0.006311654
1.296,27.60088,8.611744,-4.216092,-0.176458,-1.118809,99.9709,0.005179488,0.00625791
1.304334,27.64122,8.611732,-4.21415,-0.1761559,-1.117076,100.0067,0.00514597,0.006204889
1.312666,27.68131,8.6117,-4.212419,-0.1758829,-1.115527,99.98759,0.00511261,0.006152054
1.321,27.72472,8.611694,-4.210568,-0.1755934,-1.113873,99.99201,0.005080074,0.006099598
1.329334,27.7673,8.611668,-4.20871,-0.1753029,-1.112212,99.99975,0.005079038,0.006098043
1.337666,27.81606,8.611658,-4.207038,-0.175038,-1.110715,99.97088,0.005045717,0.006045614
1.346,27.85848,8.611649,-4.205598,-0.1748047,-1.109422,100.0257,0.005012804,0.005993926
1.354334,27.90444,8.611644,-4.204169,-0.1745727,-1.108136,100.0059,0.004981101,0.00594274
1.421,28.26128,8.611634,-4.191174,-0.1724985,-1.096482,100.0017,0.004768808,0.00559411
1.429334,28.30508,8.611612,-4.189514,-0.172234,-1.094993,100.0065,0.004740362,0.005546058
1.437666,28.34946,8.61159,-4.187844,-0.1719683,-1.093496,99.99641,0.00471207,0.005498376
1.446,28.39625,8.611574,-4.186488,-0.1717458,-1.092273,99.9746,0.004683232,0.00545089
1.454334,28.44076,8.611528,-4.18525,-0.1715393,-1.091153,99.97137,0.004654528,0.005403782
1.462666,28.48897,8.611493,-4.183774,-0.1713,-1.089826,100.027,0.004626024,0.005356952
1.471,28.534,8.611484,-4.182662,-0.1711105,-1.088817,100.0021,0.004598068,0.005310815
1.479334,28.58371,8.611472,-4.181662,-0.1709366,-1.087907,100.0013,0.004570583,0.005264736
1.487666,28.62738,8.611454,-4.180676,-0.1707644,-1.087007,99.98863,0.00454415,0.005219257
1.496,28.67566,8.611438,-4.179932,-0.1706253,-1.086319,100.0098,0.004518828,0.00517394
1.512666,28.77025,8.611446,-4.178226,-0.1703178,-1.084755,99.98459,0.004468567,0.005084533
1.529334,28.86446,8.611446,-4.177158,-0.1700974,-1.083748,99.99189,0.0044443,0.005038898
1.554334,29.0102,8.611478,-4.174183,-0.1695781,-1.081034,100.019,0.004375442,0.004908325
1.562666,29.05293,8.611474,-4.173072,-0.1693884,-1.080026,100.0209,0.00435371,0.004865752
1.571,29.09924,8.611469,-4.17191,-0.1691916,-1.078971,100.0108,0.0043322,0.004823582
1.587666,29.19823,8.61148,-4.170319,-0.1688988,-1.077505,100.0385,0.004289504,0.00474021
1.604334,29.3,8.611456,-4.168762,-0.1686098,-1.076067,99.97648,0.004249288,0.004658338
1.612666,29.3496,8.611445,-4.167935,-0.1684584,-1.075306,99.99926,0.004209645,0.004579373
1.621,29.39841,8.611426,-4.167696,-0.1683875,-1.07506,100.019,0.004190084,0.004539937
1.629334,29.44479,8.611421,-4.167081,-0.1682648,-1.074484,99.99931,0.004170598,0.004500674
1.637666,29.49328,8.61141,-4.166767,-0.1681838,-1.074171,99.98984,0.004169961,0.004499596
1.646,29.53972,8.611405,-4.166578,-0.1681202,-1.073969,99.98828,0.00415066,0.004460602
1.654334,29.58754,8.611376,-4.166308,-0.1680454,-1.073695,100.0009,0.004131912,0.004421972
1.662666,29.63955,8.611309,-4.166084,-0.1679768,-1.073463,99.97595,0.004096093,0.004346378
1.671,29.69085,8.611266,-4.165475,-0.1678549,-1.072891,100.0132,0.004077596,0.004308453
1.679334,29.7354,8.611225,-4.164854,-0.167732,-1.07231,99.99155,0.004058706,0.004270956
1.687666,29.78932,8.611222,-4.164623,-0.1676625,-1.072071,99.9934,0.004041039,0.004233519
1.696,29.83709,8.611219,-4.16428,-0.1675778,-1.071733,100.0112,0.002823118,0.0034481
1.704334,29.88835,8.611191,-4.163681,-0.1674579,-1.071172,99.98009,0.002641124,0.003136862
1.712666,29.93524,8.611184,-4.163243,-0.16736,-1.070751,100.0171,0.002534461,0.002907795
1.721,29.98312,8.611175,-4.162832,-0.167266,-1.070354,100.0031,0.002464322,0.002741069
1.729334,30.03654,8.611157,-4.162574,-0.1671924,-1.07009,99.94951,0.002384944,0.002540657
1.737666,30.08472,8.611155,-4.161976,-0.1670719,-1.069527,100.044,0.00232841,0.002373905
1.771,30.28746,8.611215,-4.16105,-0.1667926,-1.068567,99.98149,0.002133264,0.00178757
1.796,30.43732,8.611206,-4.161136,-0.1666894,-1.068529,100.0225,0.00203327,0.001470995
1.804334,30.49109,8.611194,-4.161036,-0.1666368,-1.068403,99.98931,0.002007563,0.001378145
1.812666,30.54196,8.611181,-4.160945,-0.1665855,-1.068286,100.0597,0.001978562,0.001254348
1.821,30.58758,8.611163,-4.161346,-0.1666016,-1.068599,99.94425,0.001960649,0.00116367
1.829334,30.64015,8.611156,-4.161716,-0.1666134,-1.068885,99.99962,0.001942106,0.001074392
1.837666,30.68392,8.611149,-4.161596,-0.1665586,-1.068743,99.98985,0.001922888,0.000986352
1.846,30.73577,8.611144,-4.161885,-0.1665594,-1.068957,99.99335,0.00190415,0.00089951
1.854334,30.78677,8.611139,-4.161943,-0.1665289,-1.06897,99.97572,0.00188368,0.000813719
1.862666,30.83824,8.611108,-4.162109,-0.1665129,-1.069077,100.022,0.00185807,0.000708409
1.887666,30.99154,8.611093,-4.1621,-0.1663962,-1.068956,99.99612,0.001806002,0.000491805
1.929334,31.24668,8.611102,-4.163444,-0.1663851,-1.069942,99.96239,0.001747656,0.000140911
1.937666,31.30206,8.611082,-4.163895,-0.1664075,-1.0703,99.97476,0.001734536,6.53306e-05
1.946,31.34761,8.611062,-4.164432,-0.1664413,-1.070731,99.98774,0.001716681,-8.9093e-06
1.962666,31.44932,8.61105,-4.165269,-0.1664778,-1.071388,100.0267,0.001688285,-0.00012767
1.987666,31.60861,8.611059,-4.166806,-0.1665699,-1.07262,99.99449,0.001652274,-0.00030274
2.004334,31.70897,8.611046,-4.167498,-0.1665858,-1.073148,100.0586,0.001630322,-0.00041219
2.021,31.811,8.611059,-4.168172,-0.1665991,-1.073662,99.9779,0.001605182,-0.0005324
2.037666,31.91033,8.611053,-4.169102,-0.1666475,-1.074401,99.95079,0.001581643,-0.00061095
2.046,31.96186,8.611044,-4.169662,-0.1666844,-1.074852,99.98326,0.001563751,-0.00067271
2.062666,32.06327,8.61104,-4.170541,-0.1667261,-1.075546,100.0316,0.001538983,-0.00074809
2.071,32.1092,8.611018,-4.17086,-0.1667309,-1.075788,100.0175,0.001521694,-0.00080761
2.079333,32.16245,8.610995,-4.171153,-0.166732,-1.076006,99.99553,0.001506787,-0.00085591
2.087666,32.21244,8.610994,-4.171491,-0.1667394,-1.076264,99.97703,0.001495473,-0.00089144
2.096,32.26451,8.610962,-4.171794,-0.166742,-1.076491,99.99426,0.001487811,-0.00092653
2.104334,32.31453,8.610953,-4.172464,-0.1667946,-1.07704,99.99982,0.001474557,-0.00098309
2.137666,32.52038,8.61092,-4.175445,-0.1670447,-1.079501,100.039,0.001443953,-0.0011467
2.171,32.72114,8.610969,-4.179044,-0.1673767,-1.082501,99.99184,0.001421746,-0.0012793
2.196,32.87027,8.610986,-4.181885,-0.1676453,-1.084877,99.98961,0.001405506,-0.0013944
2.204333,32.92384,8.610951,-4.182456,-0.1676838,-1.085339,99.99968,0.001402414,-0.0014228
2.229334,33.07316,8.610961,-4.185066,-0.167921,-1.087512,100.0376,0.001399777,-0.0015047
2.237666,33.12059,8.610942,-4.18617,-0.1680317,-1.088441,99.97709,0.001403025,-0.0015381
2.254333,33.21956,8.610932,-4.188076,-0.1682134,-1.090037,100.0257,0.001395976,-0.0016058
2.262666,33.274,8.610929,-4.189063,-0.1683089,-1.090865,99.95022,0.001393585,-0.0016301
2.271,33.32391,8.610919,-4.189844,-0.168376,-1.091512,99.96553,0.001394174,-0.0016598
2.312666,33.56813,8.610941,-4.195406,-0.1689375,-1.096199,99.98962,0.001386463,-0.0017738
2.321,33.6136,8.610926,-4.196421,-0.1690367,-1.097052,100.0048,0.001388761,-0.0017938
2.329333,33.66608,8.610898,-4.197545,-0.1691507,-1.098,99.94705,0.001393026,-0.0018138
2.337666,33.7203,8.610888,-4.19841,-0.1692292,-1.098721,100.044,0.001400746,-0.0018481
2.346,33.76742,8.61088,-4.199244,-0.1693034,-1.099413,100.0166,0.001415065,-0.0018574
2.354334,33.81763,8.610864,-4.20055,-0.1694418,-1.100521,99.99924,0.001424362,-0.0018903
2.362666,33.86618,8.610844,-4.201882,-0.1695836,-1.101652,99.96195,0.001433388,-0.0019089
2.379333,33.96432,8.610816,-4.203526,-0.1697295,-1.103018,99.91594,0.001448336,-0.0019451
2.387666,34.01224,8.610797,-4.20458,-0.1698332,-1.103904,100.0429,0.001462362,-0.0019657
2.396,34.05986,8.610786,-4.205266,-0.1698877,-1.104468,100.0482,0.001466865,-0.0019826
2.404333,34.11131,8.610782,-4.205946,-0.1699412,-1.105026,100.0053,0.001471194,-0.0019987
2.421,34.20402,8.610766,-4.2078,-0.1701156,-1.106577,99.97008,0.001479706,-0.0020291
2.429334,34.25304,8.610741,-4.208813,-0.1702148,-1.107429,99.99907,0.001490337,-0.0020459
2.454333,34.3968,8.610741,-4.210761,-0.1703654,-1.109027,100.0132,0.001506358,-0.002076
2.462666,34.4441,8.610739,-4.212114,-0.1705102,-1.110176,100.0258,0.001512378,-0.0020892
2.479334,34.53974,8.610731,-4.214661,-0.1707789,-1.112336,99.93585,0.001529063,-0.0021263
2.487666,34.5891,8.610712,-4.215576,-0.1708652,-1.113102,100.0132,0.001533596,-0.0021382
2.496,34.6343,8.610694,-4.216898,-0.1710061,-1.114225,100.0004,0.001538149,-0.0021395
2.521,34.77933,8.610701,-4.22044,-0.1713711,-1.117222,99.97988,0.001567878,-0.0021723
2.529333,34.81885,8.610686,-4.221741,-0.1715094,-1.118326,100.0108,0.001578378,-0.0021819
2.546,34.91562,8.610688,-4.224076,-0.1717505,-1.120302,99.99759,0.001600056,-0.0022003
2.554334,34.96298,8.610668,-4.225086,-0.1718496,-1.12115,99.98853,0.001618257,-0.0022082
2.579333,35.09651,8.610676,-4.228367,-0.1721822,-1.123922,99.98144,0.001653983,-0.0022307
2.596,35.18621,8.610663,-4.23063,-0.1724147,-1.125836,99.99015,0.001686224,-0.0022421
2.604334,35.2393,8.61066,-4.231844,-0.1725421,-1.126865,99.98451,0.00169657,-0.0022479
2.621,35.32922,8.610658,-4.234046,-0.1727654,-1.128725,100.0127,0.001715448,-0.0022514
2.629333,35.37854,8.610645,-4.235012,-0.1728588,-1.129536,100.0029,0.001727126,-0.0022561
2.637666,35.42731,8.610636,-4.236162,-0.172977,-1.13051,100.0064,0.001745619,-0.0022583
2.646,35.47254,8.610634,-4.237464,-0.1731152,-1.131615,100.0281,0.001756737,-0.0022623
2.687666,35.69596,8.610653,-4.243022,-0.1736789,-1.13631,100.0158,0.001814553,-0.0022737
2.696,35.74218,8.610621,-4.244023,-0.1737778,-1.137155,100.0246,0.001823752,-0.0022754
2.704333,35.78835,8.610614,-4.2449,-0.1738592,-1.137888,100.0109,0.001834221,-0.0022767
