Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
0.6126668,33.78091,9.855686,-4.389467,-0.194881,-1.266059,99.93969,0.001397312,0.009495524
0.621,33.81067,9.855656,-4.384204,-0.1941466,-1.261425,100.0297,0.001371506,0.009386281
0.6293332,33.84081,9.855645,-4.3791,-0.1934332,-1.256929,99.99334,0.001370018,0.009383452
0.6376668,33.87759,9.855642,-4.373777,-0.1926899,-1.252241,99.99976,0.001368177,0.009379962
0.646,33.91334,9.855671,-4.368804,-0.1919933,-1.24786,100.0139,0.001340082,0.009271362
0.6543334,33.946,9.85568,-4.363425,-0.1912412,-1.243121,99.99028,0.001339055,0.009268378
0.6626668,33.98256,9.855728,-4.358071,-0.1904924,-1.238404,100.001,0.001310822,0.009160999
0.671,34.01782,9.855749,-4.352816,-0.1897562,-1.233774,100.0129,0.001309976,0.009157947
0.6793334,34.05604,9.855766,-4.347696,-0.1890376,-1.22926,100.0293,0.001309046,0.009154601
0.6876666,34.09275,9.855762,-4.342558,-0.1883165,-1.224731,99.99582,0.001281475,0.009048797
0.696,34.1309,9.855751,-4.337474,-0.1876023,-1.220249,100.005,0.001280771,0.009045429
0.7043334,34.1683,9.855744,-4.332336,-0.1868801,-1.215718,100.0103,0.001254314,0.008940781
0.7126668,34.20936,9.855738,-4.32689,-0.1861162,-1.210918,99.95722,0.0012544,0.00893732
0.721,34.24776,9.855699,-4.321846,-0.1854062,-1.206469,100.0088,0.001230126,0.008833862
0.7293334,34.28632,9.855644,-4.31657,-0.1846646,-1.201816,99.97874,0.001228961,0.008830726
0.7376666,34.32846,9.85561,-4.31163,-0.1839681,-1.197457,100.0335,0.001203132,0.008728156
0.746,34.37735,9.855542,-4.306825,-0.1832892,-1.193217,99.98712,0.001202164,0.008724242
0.7543334,34.42215,9.855481,-4.302223,-0.1826367,-1.189153,99.97801,0.001176838,0.008622422
0.7626666,34.46339,9.855425,-4.297467,-0.1819635,-1.184954,99.99044,0.001175354,0.0086193
0.771,34.5096,9.855397,-4.292684,-0.181286,-1.18073,100.0035,0.001148316,0.008519196
0.7793334,34.55719,9.855362,-4.28789,-0.1806069,-1.176496,100.0052,0.001146297,0.008515734
0.7876668,34.60579,9.855345,-4.283026,-0.1799174,-1.1722,99.99129,0.001117257,0.008416501
0.796,34.65566,9.855334,-4.27863,-0.1792904,-1.168314,99.98453,0.001116649,0.008412905
0.8043334,34.7074,9.855353,-4.273807,-0.1786052,-1.164052,100.002,0.001090429,0.008315009
0.8126668,34.75287,9.855371,-4.269236,-0.1779535,-1.16001,100.0127,0.001090872,0.008311714
0.821,34.80715,9.855392,-4.264406,-0.1772662,-1.155741,100.0105,0.001067792,0.00821454
0.8293334,34.86225,9.85542,-4.259614,-0.1765838,-1.151504,100.0295,0.001067612,0.008210624
0.8376668,34.90884,9.855476,-4.254766,-0.1758938,-1.147218,99.98566,0.00104529,0.008115246
0.846,34.96495,9.855514,-4.250341,-0.1752599,-1.143303,100.0274,0.001023211,0.00801999
0.8543334,35.01526,9.855551,-4.24581,-0.1746116,-1.139293,99.98816,0.001022366,0.008016632
0.8626668,35.0713,9.855612,-4.241175,-0.1739488,-1.135192,100.0275,0.001000513,0.007922774
0.871,35.12138,9.855618,-4.236704,-0.1733084,-1.131234,99.96153,0.001000363,0.007919624
0.8793334,35.17895,9.855618,-4.23188,-0.1726201,-1.126966,100.0191,0.000980514,0.007826747
0.8876666,35.23272,9.855618,-4.22751,-0.1719928,-1.123096,100.0018,0.000980714,0.007823328
0.896,35.29261,9.855625,-4.223196,-0.1713725,-1.119275,100.0026,0.000962133,0.007731756
0.9043334,35.35086,9.855634,-4.218978,-0.1707646,-1.115537,99.98731,0.000944001,0.007641491
0.9126668,35.40088,9.855639,-4.214616,-0.1701378,-1.111672,99.99453,0.000943506,0.00763847
0.921,35.46322,9.855626,-4.210232,-0.169508,-1.10779,99.99226,0.000925629,0.007549061
0.9293334,35.52596,9.855632,-4.205644,-0.1688502,-1.103726,100.0137,0.000907487,0.007460278
0.9376668,35.58756,9.855625,-4.20144,-0.1682432,-1.099998,99.97379,0.000904623,0.007456666
0.946,35.65274,9.855616,-4.197582,-0.1676822,-1.096572,100.0245,0.00088222,0.007368824
0.9543334,35.7112,9.855625,-4.19364,-0.1671096,-1.093073,99.98806,0.000859008,0.007282403
0.9626668,35.77997,9.855613,-4.190125,-0.1665935,-1.089946,99.96416,0.000858082,0.007278613
0.971,35.83583,9.855608,-4.186337,-0.1660408,-1.08658,100.0191,0.000835844,0.007193548
0.9793334,35.8974,9.855609,-4.182363,-0.1654636,-1.083052,99.9854,0.000834413,0.007190294
0.9876668,35.96395,9.85559,-4.178775,-0.1649376,-1.079862,99.97931,0.000811277,0.007105528
0.996,36.02869,9.855585,-4.175472,-0.164449,-1.076919,100.0335,0.000787745,0.007022208
1.004333,36.0994,9.855561,-4.17232,-0.1639803,-1.07411,100.0327,0.000762793,0.00693932
1.012667,36.16456,9.855512,-4.169078,-0.163499,-1.071218,99.9364,0.000760523,0.006936081
